Song,Album,Lyric
Tim McGraw,Taylor Swift,And I was right there beside him all summer long / And then the time we woke up to find that summer gone
Tim McGraw,Taylor Swift,When you think happiness / I hope you think that little black dress
Picture To Burn,Taylor Swift,"State the obvious, I didn't get my perfect fantasy"
Picture To Burn,Taylor Swift,I realize you love yourself more than you could ever love me
Picture To Burn,Taylor Swift,There's nothing stopping me / From going out with all of your best friends
Picture To Burn,Taylor Swift,And if you're missing me / You'd better keep it to yourself
Teardrops On My Guitar,Taylor Swift,The only thing that keeps me wishing on a wishing star
Teardrops On My Guitar,Taylor Swift,He's the song in the car I keep singing. Don't know why I do
Teardrops On My Guitar,Taylor Swift,The kind of flawless I wish I could be
Teardrops On My Guitar,Taylor Swift,I'll put his picture down / And maybe get some sleep tonight
A Place In This World,Taylor Swift,"I don't know what I want, so don't ask me / 'Cause I'm still trying to figure it out"
A Place In This World,Taylor Swift,"Don't know what's down this road, I'm just walking"
A Place In This World,Taylor Swift,"I'll be strong, I'll be wrong, oh but life goes on"
A Place In This World,Taylor Swift,Maybe I'm just a girl on a mission / But I'm ready to fly
Cold As You,Taylor Swift,"Oh, what a shame, what a rainy ending given to a perfect day"
Cold As You,Taylor Swift,"Just walk away, ain't no use defending words that you will never say"
Cold As You,Taylor Swift,"And I know you wouldn't have told nobody if I died, died for you, died for you"
The Outside,Taylor Swift,You could've helped if you had wanted to / But no one notices until it's too late to do anything
Tied Together With A Smile,Taylor Swift,"Hold on, baby, you're losing it"
Tied Together With A Smile,Taylor Swift,I guess it's true that love was all you wanted
Stay Beautiful,Taylor Swift,He whispers songs into my window / In words that nobody knows
Stay Beautiful,Taylor Swift,It's hard to make a conversation / When he's taking my breath away
Should've Said No,Taylor Swift,You should've thought twice 'fore you let it all go
Should've Said No,Taylor Swift,"I shouldn't be asking myself, ""Why?"""
Mary's Song,Taylor Swift,I looked at you like the stars that shined
Mary's Song,Taylor Swift,Take me back to the time we had our very first fight
Our Song,Taylor Swift,I almost didn't notice / All the roses
Our Song,Taylor Swift,"I've heard every album, listened to the radio"
Fearless,Fearless,"So, baby, drive slow / 'Til we run out of road"
Fearless,Fearless,My hands shake / I'm not usually this way
Fifteen,Fearless,Hoping one of those senior boys will wink at you and say
Fifteen,Fearless,Laughing at the other girls who think they're so cool
Fifteen,Fearless,And you're dancing 'round your room when the night ends
Love Story,Fearless,"See the lights, see the party, the ball gowns"
Love Story,Fearless,"And I was crying on the staircase / Begging you, ""Please don't go."""
Love Story,Fearless,I'll be waiting. All there's left to do is run
Hey Stephen,Fearless,I know looks can be deceiving / But I know I saw a light in you
Hey Stephen,Fearless,"So, come feel this magic I've been feeling since I met you"
Hey Stephen,Fearless,"The way you walk, way you talk, way you say my name"
Hey Stephen,Fearless,"I'm waiting alone now, so, come on and come out"
White Horse,Fearless,"That I'm not a princess, this ain't a fairy tale"
White Horse,Fearless,"This ain't Hollywood, this is a small town"
You Belong With Me,Fearless,And she'll never know your story like I do
You Belong With Me,Fearless,You say you're fine I know you better than that
Breathe,Fearless,People are people and sometimes we change our minds
Breathe,Fearless,"It's 2 AM, feeling like I just lost a friend"
Tell Me Why,Fearless,And I need you like a heartbeat / But you know you got a mean streak
Tell Me Why,Fearless,You could write a book on how to ruin someone's perfect day
You're Not Sorry,Fearless,You don't have to call anymore / I won't pick up the phone
The Way I Loved You,Fearless,You're so in love that you act insane
The Way I Loved You,Fearless,He's charming and endearing / And I'm comfortable
Forever & Always,Fearless,"This thing is breaking down, we almost never speak"
The Best Day,Fearless,"I hear your laugh and look up smiling at you, I run and run"
The Best Day,Fearless,I don't know why all the trees change in the fall
The Best Day,Fearless,I know you were on my side even when I was wrong
Change,Fearless,These walls that they put up to hold us back will fall down
Change,Fearless,"And the battle was long, it's the fight of our lives"
Mine,Speak Now,I was a flight risk with a fear of falling
Mine,Speak Now,You learn my secrets and you figure out why I'm guarded
Sparks Fly,Speak Now,Kiss me on the sidewalk / Take away the pain
Sparks Fly,Speak Now,My mind forgets to remind me / You're a bad idea
Back To December,Speak Now,You gave me roses and I left them there to die
Back To December,Speak Now,"And then the cold came, the dark days when fear crept into my mind"
Speak Now,Speak Now,Horrified looks from everyone in the room / But I'm only looking at you
Dear John,Speak Now,"Well, maybe it's me / And my blind optimism / To blame"
Dear John,Speak Now,And you'll add my name / To your long list of traitors / Who don't understand
